Season,Make,Entries,Wins,Top5,Top10,Avg_Finish,Win_Rate_Per_entry
2025,Toyota,331,14,67,112,17.425981873111784,4.229607250755287
1951,Ford,207,0,26,73,17.78743961352657,0.0
1956,Oldsmobile,70,1,7,22,17.97142857142857,1.4285714285714286
1971,Buick,1,0,0,0,20.0,0.0
1961,Ford,440,7,38,102,19.131818181818183,1.5909090909090908
1951,Studebaker,68,3,14,19,20.897058823529413,4.411764705882353
1953,Dodge,99,6,34,46,13.767676767676768,6.0606060606060606
1955,Ford,96,2,10,24,19.041666666666668,2.083333333333333
1988,Oldsmobile,232,2,19,54,20.79310344827586,0.8620689655172413
2017,Toyota,311,16,64,116,18.909967845659164,5.144694533762058
2024,Toyota,300,9,59,105,17.816666666666666,3.0
1955,-,3,0,1,1,10.333333333333334,0.0
1952,Plymouth,185,3,29,80,14.562162162162162,1.6216216216216217
2007,Toyota,163,0,2,11,29.006134969325153,0.0
1956,Mercury,155,5,34,65,14.541935483870967,3.225806451612903
1976,Dodge,175,6,30,46,18.13714285714286,3.428571428571429
1950,Dodge,2,0,0,0,20.0,0.0
1951,Hudson,136,12,31,44,17.78676470588235,8.823529411764707
2013,Toyota,414,14,54,97,23.22705314009662,3.3816425120772946
1949,Chevrolet,4,0,3,4,5.5,0.0
1953,Hudson,270,22,85,135,14.2,8.148148148148149
1973,Chevrolet,374,7,71,128,19.040106951871657,1.8716577540106951
1955,Hudson,122,1,14,37,15.827868852459016,0.819672131147541
1968,Chevrolet,205,1,15,32,20.721951219512196,0.4878048780487805
1978,Dodge,132,0,12,30,18.416666666666668,0.0
1982,Chevrolet,87,3,18,32,14.505747126436782,3.4482758620689653
2016,Ford,399,8,45,75,21.646616541353385,2.0050125313283207
1968,Mercury,67,7,23,32,14.477611940298507,10.44776119402985
1988,Pontiac,181,8,24,41,21.635359116022098,4.41988950276243
1959,Chrysler,2,0,0,0,24.5,0.0
2002,Ford,505,14,86,171,19.584158415841586,2.7722772277227725
1968,Ford,695,20,80,210,16.792805755395683,2.877697841726619
2014,Toyota,336,2,37,79,24.151785714285715,0.5952380952380952
1949,Buick,18,0,2,4,19.944444444444443,0.0
1956,Dodge,181,11,53,86,14.839779005524862,6.077348066298343
1981,Chrysler,2,0,0,0,33.0,0.0
1956,Studebaker,10,0,0,0,22.6,0.0
1994,Chevrolet,422,11,57,121,20.843601895734597,2.6066350710900474
1960,Mercury,16,0,0,3,14.9375,0.0
1969,Ford,748,26,139,252,15.832887700534759,3.4759358288770055
1991,Chevrolet,272,11,52,103,18.06985294117647,4.044117647058823
1957,Mercury,119,0,16,44,15.378151260504202,0.0
1977,Dodge,160,7,25,40,18.15625,4.375
2020,Toyota,252,9,57,84,18.857142857142858,3.571428571428571
1951,Austin-Healey,1,0,0,0,30.0,0.0
1962,Studebaker,3,0,0,0,18.0,0.0
1994,Pontiac,148,0,6,23,20.486486486486488,0.0
1967,Plymouth,227,31,78,103,13.960352422907489,13.656387665198238
1996,Pontiac,158,1,5,28,21.626582278481013,0.6329113924050633
2000,Pontiac,319,11,38,81,20.761755485893417,3.4482758620689653
2014,Ford,411,14,49,88,22.338199513381994,3.40632603406326
1949,Mercury,13,0,3,6,11.23076923076923,0.0
1958,Ford,522,16,88,189,15.852490421455938,3.065134099616858
1961,Oldsmobile,14,0,1,2,20.857142857142858,0.0
1963,Chrysler,64,0,7,17,15.84375,0.0
1965,Ford,897,48,195,360,14.636566332218505,5.351170568561873
1989,Pontiac,351,6,22,68,22.125356125356124,1.7094017094017095
2010,Dodge,125,2,9,20,23.0,1.6
1952,Chevrolet,6,0,0,2,15.0,0.0
1953,Lincoln,21,0,3,6,20.476190476190474,0.0
1981,Oldsmobile,100,0,10,22,20.61,0.0
2025,Ford,453,7,46,104,20.766004415011036,1.545253863134658
1987,Ford,271,11,45,76,18.66789667896679,4.059040590405904
1966,Plymouth,194,16,65,90,14.623711340206185,8.24742268041237
1977,Ford,120,0,18,44,17.583333333333332,0.0
1952,Hudson,289,27,84,119,15.46712802768166,9.342560553633218
