Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
1951,Martinsville Speedway,short,58,2,114.4,28.0,200.0,2,2
1970,Savannah Speedway,short,22,1,134.77272727272728,0.0,200.0,1,1
2021,Talladega Superspeedway,superspeedway,80,2,147.0,3.0,191.0,57,2
2025,Martinsville Speedway,short,75,2,438.73333333333335,295.0,500.0,40,2
2006,Las Vegas Motor Speedway,intermediate,43,1,256.9767441860465,88.0,270.0,30,1
1971,Smokey Mountain Raceway,short,30,1,131.66666666666666,1.0,200.0,2,1
1952,Canfield Fairgrounds,short,30,1,133.06666666666666,15.0,200.0,2,1
1987,Talladega Superspeedway,superspeedway,81,2,137.44444444444446,2.0,188.0,20,2
1959,Rambi Race Track,short,27,1,152.7037037037037,4.0,200.0,1,1
2007,New Hampshire Motor Speedway,intermediate,86,2,290.40697674418607,4.0,300.0,43,2
1975,Rockingham Speedway,intermediate,68,2,352.0882352941176,2.0,492.0,4,1
1961,South Boston Speedway,short,21,1,147.85714285714286,22.0,200.0,1,1
2023,Circuit of the Americas,road course,39,1,66.51282051282051,0.0,75.0,29,1
1990,Daytona International Speedway,intermediate,82,2,143.14634146341464,1.0,200.0,16,2
2023,Bristol Motor Speedway,short,36,1,471.4166666666667,260.0,500.0,10,1
1968,Hickory Speedway,short,45,2,184.57777777777778,5.0,250.0,5,2
2023,Dover International Speedway,intermediate,36,1,356.75,34.0,400.0,12,1
2023,Atlanta Motor Speedway,intermediate,73,2,210.75342465753425,92.0,260.0,50,2
1957,Asheville-Weaverville Speedway,short,38,2,147.6216216216216,9.0,200.0,5,2
1964,Riverside International Raceway,road course,44,1,114.13636363636364,7.0,185.0,1,1
1963,Rambi Race Track,short,18,1,133.44444444444446,30.0,200.0,1,1
1993,New Hampshire Motor Speedway,intermediate,40,1,255.75,9.0,300.0,7,1
1972,Ontario Motor Speedway,intermediate,51,1,144.58823529411765,1.0,200.0,3,1
1956,Asheville-Weaverville Speedway,short,29,1,142.17241379310346,5.0,200.0,2,1
1992,Pocono Raceway,intermediate,80,2,163.1125,3.0,200.0,20,2
1954,Sharon Speedway,short,22,1,121.22727272727273,12.0,160.0,1,1
2013,Texas Motor Speedway,intermediate,86,2,303.8720930232558,27.0,334.0,32,2
2024,Indianapolis Motor Speedway,intermediate,39,1,150.56410256410257,15.0,167.0,24,1
